Local time in Braganca,temp,RH,wind,rain,month,day,class
2018-03-21 18:00:00,11.3,36.0,1.0,0.0,3,3,0
2017-09-17 23:00:00,13.6,60.0,5.0,0.0,9,7,0
2016-08-22 11:00:00,29.7,27.0,2.0,0.0,8,1,0
2016-01-23 12:00:00,11.3,99.0,0.0,0.8,1,6,0
2016-03-02 03:00:00,7.4,71.0,6.0,0.0,3,3,0
2018-10-20 12:00:00,18.5,59.0,4.0,0.0,10,6,0
2017-09-05 23:00:00,19.9,56.0,3.0,0.0,9,2,0
2018-12-05 05:00:00,3.3,99.0,0.0,0.0,12,3,0
2018-07-06 14:00:00,26.4,39.0,2.0,0.0,7,5,0
2017-03-11 10:00:00,13.1,65.0,3.0,0.0,3,6,0
2018-12-22 07:00:00,8.7,98.0,1.0,0.0,12,6,0
2017-08-22 11:00:00,33.1,21.0,3.0,0.0,8,2,0
2016-05-20 05:00:00,11.3,82.0,0.0,0.0,5,5,0
2018-07-30 17:00:00,25.7,48.0,3.0,0.0,7,1,0
2016-09-27 20:00:00,21.0,59.0,2.0,0.0,9,2,0
2016-07-22 14:00:00,27.2,33.0,2.0,0.0,7,5,0
2017-02-13 23:00:00,2.9,95.0,1.0,0.0,2,1,0
2016-04-24 22:00:00,11.5,69.0,0.0,0.0,4,7,0
2016-10-08 14:00:00,23.5,34.0,1.0,0.0,10,6,0
2017-05-01 07:00:00,3.5,85.0,1.0,0.0,5,1,0
2018-07-24 20:00:00,23.2,57.0,2.0,0.0,7,2,0
2016-12-24 22:00:00,4.2,96.0,1.0,0.0,12,6,0
2017-12-22 11:00:00,5.8,76.0,1.0,0.0,12,5,0
2016-07-01 18:00:00,25.8,40.0,5.0,0.0,7,5,0
2016-12-08 05:00:00,2.3,99.0,0.0,0.0,12,4,0
2018-04-01 23:00:00,12.0,60.0,4.0,0.0,4,7,0
2018-01-04 07:00:00,10.6,82.0,4.0,0.0,1,4,0
2016-11-28 13:00:00,11.0,68.0,1.0,0.0,11,1,0
2018-01-25 08:00:00,7.0,97.0,4.0,0.0,1,4,0
2016-12-25 18:00:00,3.9,99.0,0.0,0.0,12,7,0
2017-06-02 14:00:00,27.3,24.0,4.0,0.0,6,5,0
2017-05-27 07:00:00,15.9,88.0,0.0,0.0,5,6,0
2018-04-24 16:00:00,26.7,29.0,2.0,0.0,4,2,0
2017-06-13 17:00:00,30.1,32.0,2.0,0.0,6,2,0
